field	value	per_superblock
run_mode	device	-
spirv_path	$REPOSITORY/remote/isa-probes/q4k-packed-f16-dot.spv	-
spirv_sha256	488a7723bb928d26f68be49b4627621d314a541a645f485f6728c249101ec71c	-
spirv_bytes	7100	-
nir_sha256	3d6310f20f6faa1a15a29e5464a218b82e41e24451158cf09282014bad8a2834	-
isa_sha256	f2522e0f2423ca3880233cff3ee791e99e80d6e4d060fffea9e850d6b6bf1005	-
device_name	AMD Ryzen 5 5600X3D 6-Core Processor (RADV RAVEN2)	-
driver_name	radv	-
driver_info	Mesa 26.2.1-arch3.1	-
device_api_version	1.4.354	-
spirv_capabilities	Shader,Float16	-
features_enabled	shaderFloat16,subgroupSizeControl,computeFullSubgroups	-
robust_buffer_access	off	-
spec_constants	-	-
bindings	3	-
push_constant_bytes	0	-
subgroup_size_requested	64	-
subgroup_size_min	64	-
subgroup_size_max	64	-
environment_names	GGML_VK_LOW_PRIORITY,GGML_VK_MAX_NODES_PER_SUBMIT,RADV_DEBUG,VK_DRIVER_FILES,VK_ICD_FILENAMES	-
per_superblock_divisor	-	-
vgprs	36	-
sgprs	16	-
spilled_vgprs	0	-
spilled_sgprs	0	-
lds	512	-
scratch	0	-
code_size	960	-
waves_per_simd	-	-
instruction_lines	182	-
valu	107	-
salu	8	-
vmem	3	-
smem	2	-
lds_instructions	33	-
waitcnt	30	-
barrier	0	-
v_cvt_f32_ubyte	2	-
v_bfe	4	-
v_lshrrev_b32	1	-
v_lshlrev_b32	2	-
v_and_b32	4	-
v_perm_b32	0	-
sdwa_operand_uses	9	-
dpp_uses	0	-
v_mul_lo_u32	0	-
v_mad_u32_u24	0	-
v_mad_i32_i24	0	-
v_mul_u32_u24	0	-
v_fma_f32	0	-
v_mac_f32	0	-
v_mad_mix_f32	0	-
v_pk_fma_f16	3	-
v_cvt_f32_f16	2	-
